Scenario,Barangay_ID,Barangay_Name,Hazard_Level,FA_Allocated,FA_Ideal,EFA_Allocated,EFA_Ideal,FA_Solution_Quality,EFA_Solution_Quality,Percentage_Change
2,RAMON_MAGSAYSAY,Brgy. Ramon Magsaysay,Medium,103,15,96,15,5.87,5.4,-8.01
2,ROXAS,Brgy. Roxas,Low,141,6,196,6,22.5,31.67,40.76
2,SACRED_HEART,Brgy. Sacred Heart,Medium,90,7,168,7,11.86,23.0,93.93
2,SAINT_IGNATIUS,Brgy. Saint Ignatius,Medium,88,3,77,3,28.33,24.67,-12.92
2,SAINT_PETER,Brgy. Saint Peter,Medium,115,5,92,5,22.0,17.4,-20.91
2,SALVACION,Brgy. Salvacion,None,0,0,0,0,1.0,1.0,0.0
2,SANGANDAAN,Brgy. Sangandaan,Medium,139,22,214,22,5.32,8.73,64.1
2,SANTOL,Brgy. Santol,Medium,246,7,157,7,34.14,21.43,-37.23
2,SAN_AGUSTIN,Brgy. San Agustin,Low,231,13,375,13,16.77,27.85,66.07
2,SAN_ANTONIO,Brgy. San Antonio,Medium,141,23,104,23,5.13,3.52,-31.38
2,SAN_BARTOLOME,Brgy. San Bartolome,Low,160,26,227,26,5.15,7.73,50.1
2,SAN_ISIDRO,Brgy. San Isidro,Medium,20,7,217,7,1.86,30.0,1512.9
2,SAN_ISIDRO_LABRADOR,Brgy. San Isidro Labrador,Medium,173,7,210,7,23.71,29.0,22.31
2,SAN_JOSE,Brgy. San Jose,Medium,93,6,108,6,14.5,17.0,17.24
2,SAN_MARTIN_DE_PORRES,Brgy. San Martin de Porres,Medium,285,12,224,12,22.75,17.67,-22.33
2,SAN_ROQUE,Brgy. San Roque,Medium,306,20,125,20,14.3,5.25,-63.29
2,SAN_VICENTE,Brgy. San Vicente,Medium,106,8,144,8,12.25,17.0,38.78
2,SAUYO,Brgy. Sauyo,Medium,220,77,509,77,1.86,5.61,201.61
2,SIENA,Brgy. Siena,Medium,49,3,142,3,15.33,46.33,202.22
2,SIKATUNA_VILLAGE,Brgy. Sikatuna Village,Medium,184,7,248,7,25.29,34.43,36.14
2,SILANGAN,Brgy. Silangan,Medium,218,5,174,5,42.6,33.8,-20.66
2,SOCORRO,Brgy. Socorro,Medium,132,23,325,23,4.74,13.13,177.0
